Date,AAPL,GE,GOOG,IBM,MSFT
10-08-2010,32.24470139,11.46568298,250.914505,97.96256256,19.91431427
11-08-2010,31.09864235,11.07761478,244.9518585,96.46903992,19.74749756
12-08-2010,31.29752541,10.93649483,245.0863495,95.33222198,19.45358849
13-08-2010,30.96316147,10.85183048,242.266922,95.01269531,19.38209724
16-08-2010,30.78168488,10.9082737,241.8883362,94.93837738,19.4615345
17-08-2010,31.31990814,10.99294662,244.3441315,95.44365692,19.7330513
18-08-2010,31.45663834,11.07761478,240.1747589,96.14211273,19.82089615
19-08-2010,31.06012535,10.76010323,233.1112366,95.77801514,19.51743507
20-08-2010,31.03028679,10.60487461,230.1473541,94.73775482,19.34973145
23-08-2010,30.55297279,10.50609303,231.1685181,93.97242737,19.3896637
24-08-2010,29.82333183,10.28030777,224.8522034,92.8058548,19.19799995
25-08-2010,30.19126511,10.28030777,226.4611664,93.08076477,19.24591446
26-08-2010,29.86683464,10.23091793,224.6479645,91.23061371,19.02230835
27-08-2010,30.0334034,10.37908745,228.5583038,92.67951965,19.11015701
30-08-2010,30.14278412,10.24502945,225.4997711,91.69129181,18.87856483
31-08-2010,30.21736336,10.21680355,224.169754,91.49066925,18.74280548
01-09-2010,31.11605644,10.59076309,229.3055115,93.45227814,19.08619499
02-09-2010,31.34475899,10.68954372,230.7251892,92.90988159,19.11813927
03-09-2010,32.16514206,10.85888386,234.2718964,94.79720306,19.39765549
07-09-2010,32.04581833,10.89416504,231.332901,93.58604431,19.13410759
08-09-2010,32.68099594,11.07761478,234.4113617,93.68263245,19.11015701
09-09-2010,32.69963455,11.22578907,237.2009125,93.89071655,19.17403793
10-09-2010,32.74189758,11.27517796,237.1809845,95.10186005,19.04627037
13-09-2010,33.19310379,11.46568298,240.2345428,96.3055954,20.05248642
14-09-2010,33.31988525,11.40217972,239.3179779,95.74085236,19.98860168
15-09-2010,33.58838654,11.52918243,239.4225922,96.17182159,20.0604744
16-09-2010,34.37768555,11.53970718,239.6318054,96.35015106,20.22817993
17-09-2010,34.22853088,11.58236885,244.1598358,96.73655701,20.14033318
20-09-2010,35.20552826,11.76723099,253.190979,97.92542267,20.3080368
21-09-2010,35.27265167,11.74590206,255.7713013,98.06655884,20.0844326
22-09-2010,35.76736069,11.73167992,257.0365601,98.50496674,19.65319443
23-09-2010,35.91279221,11.47571468,255.7812653,97.83622742,19.50945091
24-09-2010,36.3354187,11.84544182,262.6604919,99.64928436,19.78894806
27-09-2010,36.19123459,11.68191147,264.2146606,100.0504913,19.74902725
